Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1761491076,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1761491077,2,,Aggregated,0.000000,0.000000,490,490,490,490,490,490,490,490,490,490,490,1,1,485.5244999998831,485.5244999998831,485.5244999998831,485.5244999998831,28.0
1761491078,6,,Aggregated,0.000000,0.000000,490,490,1100,1100,1100,1100,1100,1100,1100,1100,1100,3,3,490.0,541.4837666665638,74.81979999988653,1064.1069999999218,9.333333333333334
1761491079,8,,Aggregated,0.000000,0.000000,490,490,1100,1100,1100,1100,1100,1100,1100,1100,1100,3,3,490.0,541.4837666665638,74.81979999988653,1064.1069999999218,9.333333333333334
1761491080,10,,Aggregated,0.000000,0.000000,490,490,1100,1100,1100,1100,1100,1100,1100,1100,1100,3,3,490.0,541.4837666665638,74.81979999988653,1064.1069999999218,9.333333333333334
1761491081,10,,Aggregated,0.000000,0.000000,490,490,1100,1100,1100,1100,1100,1100,1100,1100,1100,3,3,490.0,541.4837666665638,74.81979999988653,1064.1069999999218,9.333333333333334
1761491082,10,,Aggregated,0.750000,0.750000,1100,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100,5,5,1100.0,1951.6602399999556,74.81979999988653,4072.00940000007,5.6
1761491083,8,,Aggregated,0.600000,0.600000,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100,7,7,4097.304099999974,2559.3749571428366,74.81979999988653,4097.304099999974,4.0
1761491084,7,,Aggregated,0.600000,0.600000,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100,8,8,4097.304099999974,2747.0741249999837,74.81979999988653,4097.304099999974,3.5
1761491085,6,,Aggregated,0.500000,0.500000,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100,9,9,4097.304099999974,2890.9393111110962,74.81979999988653,4097.304099999974,3.111111111111111
1761491086,6,,Aggregated,1.000000,1.000000,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100,11,11,4097.304099999974,3106.3366636363676,74.81979999988653,4097.304099999974,2.5454545454545454
1761491087,6,,Aggregated,1.000000,1.000000,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100,12,12,4097.304099999974,3185.743774999992,74.81979999988653,4097.304099999974,2.3333333333333335
1761491088,6,,Aggregated,0.900000,0.900000,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100,13,13,4097.304099999974,3252.6370923076934,74.81979999988653,4097.304099999974,2.1538461538461537
1761491089,6,,Aggregated,1.100000,1.100000,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100,15,15,4097.304099999974,3358.258666666674,74.81979999988653,4097.304099999974,1.8666666666666667
1761491090,6,,Aggregated,0.900000,0.900000,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100,16,16,4097.304099999974,3402.280968750006,74.81979999988653,4097.304099999974,1.75
1761491091,6,,Aggregated,1.000000,1.000000,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100,18,18,4097.304099999974,3477.467194444444,74.81979999988653,4097.304099999974,1.5555555555555556
1761491092,6,,Aggregated,1.200000,1.200000,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100,19,19,4097.304099999974,3507.78351578947,74.81979999988653,4097.304099999974,1.4736842105263157
1761491093,6,,Aggregated,1.400000,1.400000,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100,20,20,4097.304099999974,3535.116499999993,74.81979999988653,4097.304099999974,1.4
1761491094,6,,Aggregated,1.400000,1.400000,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100,20,20,4097.304099999974,3535.116499999993,74.81979999988653,4097.304099999974,1.4
1761491095,6,,Aggregated,1.300000,1.300000,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100,24,24,4097.304099999974,3623.179266666663,74.81979999988653,4097.304099999974,1.1666666666666667
1761491096,6,,Aggregated,1.300000,1.300000,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100,24,24,4097.304099999974,3623.179266666663,74.81979999988653,4097.304099999974,1.1666666666666667
1761491097,6,,Aggregated,1.200000,1.200000,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100,25,25,4097.304099999974,3639.498512,74.81979999988653,4097.304099999974,1.12
1761491098,6,,Aggregated,1.500000,1.500000,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100,26,26,4097.304099999974,3656.363415384616,74.81979999988653,4097.304099999974,1.0769230769230769
1761491099,6,,Aggregated,1.300000,1.300000,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100,28,28,4097.304099999974,3684.2855892857233,74.81979999988653,4097.304099999974,1.0
1761491100,6,,Aggregated,1.300000,1.300000,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100,30,30,4097.304099999974,3709.164863333338,74.81979999988653,4097.304099999974,0.9333333333333333
1761491101,6,,Aggregated,1.300000,1.300000,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100,31,31,4097.304099999974,3720.0752677419378,74.81979999988653,4097.304099999974,0.9032258064516129
1761491102,6,,Aggregated,1.300000,1.300000,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100,32,32,4097.304099999974,3730.7993312500043,74.81979999988653,4097.304099999974,0.875
1761491103,6,,Aggregated,1.300000,1.300000,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100,33,33,4097.304099999974,3740.923903030307,74.81979999988653,4097.304099999974,0.8484848484848485
1761491104,6,,Aggregated,1.300000,1.300000,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100,35,35,4097.304099999974,3758.9278171428628,74.81979999988653,4097.304099999974,0.8
1761491105,6,,Aggregated,1.300000,1.300000,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100,36,36,4097.304099999974,3767.548650000006,74.81979999988653,4097.304099999974,0.7777777777777778
1761491106,6,,Aggregated,1.300000,1.300000,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100,38,38,4097.304099999974,3783.046205263166,74.81979999988653,4097.304099999974,0.7368421052631579
1761491107,6,,Aggregated,1.300000,1.300000,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100,38,38,4097.304099999974,3783.046205263166,74.81979999988653,4097.304099999974,0.7368421052631579
1761491108,6,,Aggregated,1.200000,1.200000,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100,40,40,4097.304099999974,3797.4130525000073,74.81979999988653,4097.304099999974,0.7
1761491109,6,,Aggregated,1.400000,1.400000,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100,41,41,4097.304099999974,3804.6771292683006,74.81979999988653,4097.304099999974,0.6829268292682927
1761491110,6,,Aggregated,1.300000,1.300000,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100,42,42,4097.304099999974,3810.8166547619116,74.81979999988653,4097.304099999974,0.6666666666666666
1761491111,6,,Aggregated,1.400000,1.400000,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100,44,44,4097.304099999974,3822.5507659090977,74.81979999988653,4097.304099999974,0.6363636363636364
1761491112,6,,Aggregated,1.300000,1.300000,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100,46,46,4097.304099999974,3833.0937434782645,74.81979999988653,4097.304099999974,0.6086956521739131
1761491113,6,,Aggregated,1.300000,1.300000,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100,47,47,4097.304099999974,3837.8138148936196,74.81979999988653,4097.304099999974,0.5957446808510638
1761491114,6,,Aggregated,1.300000,1.300000,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100,48,48,4097.304099999974,3842.5730145833368,74.81979999988653,4097.304099999974,0.5833333333333334
1761491115,6,,Aggregated,1.400000,1.400000,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100,49,49,4097.304099999974,3846.9142816326557,74.81979999988653,4097.304099999974,0.5714285714285714
1761491116,6,,Aggregated,1.400000,1.400000,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100,50,50,4097.304099999974,3851.143878000002,74.81979999988653,4097.304099999974,0.56
1761491117,6,,Aggregated,1.300000,1.300000,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100,53,53,4097.304099999974,3863.8970981132106,74.81979999988653,4097.304099999974,0.5283018867924528
1761491118,6,,Aggregated,1.300000,1.300000,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100,54,54,4097.304099999974,3867.639742592599,74.81979999988653,4097.304099999974,0.5185185185185185
1761491120,6,,Aggregated,1.300000,1.300000,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100,54,54,4097.304099999974,3867.639742592599,74.81979999988653,4097.304099999974,0.5185185185185185
1761491121,6,,Aggregated,1.500000,1.500000,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100,55,55,4097.304099999974,3871.546789090916,74.81979999988653,4097.304099999974,0.509090909090909
1761491122,6,,Aggregated,1.400000,1.400000,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100,59,59,4097.304099999974,3883.9993288135647,74.81979999988653,4097.304099999974,0.4745762711864407
1761491123,6,,Aggregated,1.400000,1.400000,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100,59,59,4097.304099999974,3883.9993288135647,74.81979999988653,4097.304099999974,0.4745762711864407
1761491124,6,,Aggregated,1.200000,1.200000,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100,60,60,4098.686300000054,3887.5774450000067,74.81979999988653,4098.686300000054,0.4666666666666667
1761491125,6,,Aggregated,1.500000,1.500000,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100,61,61,4098.686300000054,3890.0044213114816,74.81979999988653,4098.686300000054,0.45901639344262296
1761491126,6,,Aggregated,1.300000,1.300000,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100,63,63,4098.686300000054,3895.640417460324,74.81979999988653,4098.686300000054,0.4444444444444444
1761491127,6,,Aggregated,1.300000,1.300000,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100,65,65,4098.686300000054,3901.2312876923115,74.81979999988653,4098.686300000054,0.4307692307692308
1761491128,6,,Aggregated,1.300000,1.300000,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100,66,66,4098.686300000054,3903.773104545459,74.81979999988653,4098.686300000054,0.42424242424242425
1761491129,6,,Aggregated,1.500000,1.500000,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100,67,67,4098.686300000054,3906.220014925379,74.81979999988653,4098.686300000054,0.417910447761194
1761491130,6,,Aggregated,1.500000,1.500000,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100,67,67,4098.686300000054,3906.220014925379,74.81979999988653,4098.686300000054,0.417910447761194
1761491131,6,,Aggregated,1.200000,1.200000,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100,71,71,4098.686300000054,3914.7769211267687,74.81979999988653,4098.686300000054,0.39436619718309857
1761491132,6,,Aggregated,1.200000,1.200000,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100,71,71,4098.686300000054,3914.7769211267687,74.81979999988653,4098.686300000054,0.39436619718309857
